project_id,reinforcement_ratio_kg_per_m3,num_unique_required_lengths,stock_length_policy,cutting_optimization_usage,bim_integration_level,design_revisions_per_month,supervision_index_1to5,material_control_level_1to3,storage_handling_index_1to5,offcut_reuse_policy_0to2,change_orders_per_month,contract_type,lead_time_days,order_frequency_per_month,project_phase,steel_waste_percentage
P1000,101.5,25,standard_12m,0,0,3,1,2,3,2,3,remeasurement,18,4,slab_finishing,13.06
P1001,160.8,7,custom_lengths,1,0,0,3,3,2,0,3,lump_sum,17,5,foundation,6.8
P1002,97.9,17,mixed_lengths,1,0,5,4,2,2,0,5,design_build,22,5,slab_finishing,12.62
P1003,93.7,12,standard_12m,2,1,6,1,2,1,2,5,remeasurement,27,7,slab_finishing,11.79
P1004,173.9,36,standard_12m,1,1,5,3,3,4,0,1,lump_sum,30,4,foundation,11.67
P1005,180.0,34,mixed_lengths,0,1,1,3,2,2,1,2,lump_sum,3,8,foundation,11.08
P1006,155.7,6,standard_12m,0,1,2,5,2,2,0,0,lump_sum,27,4,foundation,11.13
P1007,119.4,21,standard_12m,1,1,2,4,2,2,0,0,lump_sum,15,5,frame,7.58
P1008,176.7,21,mixed_lengths,2,1,5,3,3,2,1,5,remeasurement,15,4,foundation,10.83
P1009,146.3,25,mixed_lengths,1,0,0,5,2,2,1,2,remeasurement,18,6,frame,5.79
P1010,103.5,12,standard_12m,1,1,4,3,1,2,1,3,lump_sum,30,3,slab_finishing,12.74
P1011,137.3,10,standard_12m,2,1,5,3,1,1,2,5,remeasurement,7,7,frame,12.23
P1012,87.2,13,standard_12m,1,0,0,2,2,3,0,1,lump_sum,29,6,slab_finishing,8.87
P1013,178.9,27,standard_12m,1,1,0,4,2,2,1,0,lump_sum,22,6,foundation,4.86
P1014,171.4,9,standard_12m,2,1,5,2,2,3,2,3,remeasurement,14,6,foundation,9.06
P1015,91.0,5,standard_12m,2,1,1,5,2,3,1,0,lump_sum,20,5,slab_finishing,5.94
P1016,175.3,37,standard_12m,1,0,6,1,2,2,2,5,design_build,19,4,frame,14.83
P1017,98.7,30,standard_12m,0,0,5,3,1,2,1,5,lump_sum,28,7,slab_finishing,15.0
P1018,101.8,34,mixed_lengths,0,2,4,4,2,1,0,2,lump_sum,30,3,slab_finishing,10.77
P1019,102.3,14,custom_lengths,2,1,6,3,3,4,2,5,remeasurement,16,2,slab_finishing,7.27
P1020,149.7,21,mixed_lengths,0,1,6,2,2,1,1,2,design_build,17,6,frame,10.79
P1021,141.9,8,custom_lengths,0,1,3,1,1,1,0,3,lump_sum,15,5,frame,12.28
P1022,167.1,32,standard_12m,1,0,3,4,2,1,2,2,lump_sum,18,8,foundation,10.4
P1023,130.3,13,custom_lengths,1,0,0,5,3,2,0,0,lump_sum,22,5,frame,2.49
P1024,97.6,31,mixed_lengths,0,2,2,2,1,1,1,5,remeasurement,16,4,slab_finishing,13.77
P1025,127.9,6,standard_12m,1,0,6,4,3,3,1,5,remeasurement,15,3,frame,14.56
P1026,180.0,27,standard_12m,1,2,4,2,2,3,2,0,design_build,13,6,foundation,6.19
P1027,135.2,31,standard_12m,1,1,1,1,2,1,0,1,lump_sum,20,4,frame,11.06
P1028,164.1,27,standard_12m,0,1,3,1,1,2,1,2,design_build,19,6,frame,12.96
P1029,132.3,31,mixed_lengths,1,2,4,3,2,2,0,1,lump_sum,16,3,frame,9.39
