project_id,reinforcement_ratio_kg_per_m3,num_unique_required_lengths,stock_length_policy,cutting_optimization_usage,bim_integration_level,design_revisions_per_month,supervision_index_1to5,material_control_level_1to3,storage_handling_index_1to5,offcut_reuse_policy_0to2,change_orders_per_month,contract_type,lead_time_days,order_frequency_per_month,project_phase,steel_waste_percentage
P1642,143.4,26,mixed_lengths,0,1,4,2,2,1,0,1,lump_sum,29,2,frame,12.57
P1700,156.5,23,mixed_lengths,0,0,5,4,2,1,0,1,design_build,16,3,frame,10.53
P1226,90.8,6,standard_12m,2,1,2,5,2,2,2,5,lump_sum,26,4,slab_finishing,5.96
P2697,137.7,13,custom_lengths,2,0,1,3,1,1,0,0,lump_sum,22,7,frame,6.14
P2010,133.6,22,standard_12m,1,2,6,4,2,1,0,1,lump_sum,25,2,frame,11.15
P2572,107.1,25,standard_12m,1,1,1,3,1,2,2,1,lump_sum,21,4,slab_finishing,7.28
P1776,137.6,38,standard_12m,0,1,1,1,2,3,1,0,lump_sum,17,6,frame,9.69
P2730,104.5,37,standard_12m,0,0,5,4,2,2,0,3,remeasurement,17,5,slab_finishing,15.0
P3826,180.0,39,standard_12m,0,1,4,4,2,2,0,2,design_build,6,8,foundation,12.41
P3228,164.4,32,mixed_lengths,2,2,1,1,2,2,2,1,lump_sum,18,8,frame,4.56
P3794,176.5,38,standard_12m,1,1,3,2,2,2,0,4,design_build,17,8,foundation,13.68
P1464,128.1,5,standard_12m,0,0,6,2,1,1,0,5,lump_sum,25,5,frame,15.0
P3651,164.9,19,mixed_lengths,2,0,0,4,2,3,2,3,remeasurement,20,4,foundation,5.15
P2093,97.3,6,standard_12m,1,2,0,4,2,2,0,1,lump_sum,30,6,slab_finishing,6.56
P2271,121.3,26,standard_12m,1,2,1,4,2,3,1,3,lump_sum,23,7,slab_finishing,6.37
P3923,164.0,23,standard_12m,1,1,2,2,2,2,2,1,lump_sum,20,6,foundation,7.12
P2580,132.1,22,mixed_lengths,1,1,1,5,2,1,1,4,remeasurement,19,2,frame,9.04
P2207,136.3,26,standard_12m,2,1,2,3,2,3,1,1,lump_sum,22,7,frame,5.85
P1212,161.8,35,standard_12m,2,1,3,5,2,3,2,2,lump_sum,28,4,frame,4.95
P1012,87.2,13,standard_12m,1,0,0,2,2,3,0,1,lump_sum,29,6,slab_finishing,8.87
P3972,124.4,11,standard_12m,1,0,1,5,3,3,2,4,lump_sum,28,8,frame,3.73
P1422,131.2,30,standard_12m,1,1,3,1,2,2,2,2,design_build,24,2,frame,8.7
P2688,141.4,6,custom_lengths,1,3,3,5,2,1,2,2,design_build,27,3,frame,0.83
P2779,113.9,17,mixed_lengths,2,2,5,2,2,1,2,3,design_build,19,8,frame,5.45
P3639,180.0,33,mixed_lengths,1,0,2,4,3,3,0,5,remeasurement,14,8,foundation,10.38
P3319,171.5,33,mixed_lengths,0,1,4,5,2,3,2,0,design_build,23,2,foundation,4.74
P1637,165.4,9,standard_12m,1,1,6,4,2,1,2,2,remeasurement,22,2,foundation,12.59
P2278,95.8,21,standard_12m,0,2,4,3,1,1,0,5,remeasurement,7,7,slab_finishing,15.0
P2640,174.8,34,mixed_lengths,1,0,4,1,1,1,1,5,remeasurement,20,5,foundation,15.0
P1509,122.7,5,standard_12m,1,1,3,2,2,2,1,5,remeasurement,14,4,frame,13.04
